Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  svchost.exe		2,264 K	5,996 K	25944	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,220 K	6,324 K	21320	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,240 K	5,740 K	21572	Host Process for Windows Services	Microsoft Corporation
  TeamViewer_Service.exe	< 0.01	19,116 K	25,284 K	22904	TeamViewer	TeamViewer Germany GmbH
  svchost.exe		2,020 K	8,140 K	32104	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,640 K	10,304 K	12788	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	10,740 K	23,860 K	7840	Host Process for Windows Services	Microsoft Corporation
 LsaIso.exe		1,696 K	1,192 K	1160		
 lsass.exe		13,384 K	19,168 K	1172	Local Security Authority Process	Microsoft Corporation
 fontdrvhost.exe		1,620 K	700 K	1332		
GoogleCrashHandler.exe		1,712 K	88 K	17152		
GoogleCrashHandler64.exe		1,688 K	148 K	17232		
vmmemCmZygote	Suspended	4,92,660 K	0 K	3500		
conhost.exe		5,452 K	6,848 K	8804		
esrv.exe	< 0.01	1,35,316 K	7,768 K	31092		
csrss.exe	< 0.01	2,932 K	7,968 K	21620		
winlogon.exe		2,528 K	10,840 K	1880		
 fontdrvhost.exe	< 0.01	3,948 K	8,968 K	3584		
 dwm.exe	0.16	5,43,024 K	1,24,720 K	14204		
TeamViewer.exe		47,168 K	33,424 K	25988	TeamViewer	TeamViewer Germany GmbH
explorer.exe	0.16	4,20,532 K	1,91,692 K	32580	Windows Explorer	Microsoft Corporation
 SecurityHealthSystray.exe		1,944 K	10,912 K	12420	Windows Security notification icon	Microsoft Corporation
 RtkAudUService64.exe		3,776 K	13,140 K	12460	Realtek HD Audio Universal Service	Realtek Semiconductor
 WavesSvc64.exe		1,94,844 K	17,480 K	32192	Waves MaxxAudio Service Application	Waves Audio Ltd.
 OneDrive.exe	< 0.01	89,096 K	27,368 K	28668	Microsoft OneDrive	Microsoft Corporation
 figma_agent.exe		7,228 K	13,508 K	4156	Figma Agent	
 cmd.exe		2,152 K	4,860 K	25824		
  conhost.exe		13,240 K	20,600 K	17648		
 mmc.exe		19,952 K	33,676 K	16772		
 Notepad.exe	< 0.01	1,00,992 K	11,468 K	30580		
 procexp64.exe	0.48	85,028 K	75,732 K	3000	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
 tcpview64.exe	0.48	29,056 K	59,804 K	12032		
 EXCEL.EXE	< 0.01	95,444 K	1,44,756 K	22388	Microsoft Excel	Microsoft Corporation
  splwow64.exe		4,780 K	20,204 K	2844	Print driver host for applications	Microsoft Corporation
tv_w32.exe	< 0.01	2,816 K	9,860 K	20084		
tv_x64.exe	< 0.01	2,276 K	9,140 K	22220		
